"Project","Description","Date","Duration"
"Dx Pro Designer","Local grid","2026-09-07","7,50"
"Dx Pro Designer","Local grid","2026-09-08","4,50"
"Pana AC Select Develop","Missing SEER","2026-09-08","2,00"
"Refrigeration - Development","@dahl.se investigation","2026-09-08","2,00"
"Refrigeration - Development","Disclaimer modal fix","2026-09-08","0,00"
"Refrigeration - Development","Disclaimer modal fix","2026-09-09","1,00"
"Refrigeration - Development","Standup","2026-09-09","0,50"
"Dx Pro Designer","Dxpro weekly","2026-09-09","0,50"
"Dx Pro Designer","Faulty pipe fix","2026-09-09","1,00"
"Refrigeration - Development","Refpro weekly","2026-09-09","0,50"
"Refrigeration - Development","Board check prod","2026-09-09","0,50"
"Refrigeration - Development","@dahl.se investigation","2026-09-09","1,50"
"Dx Pro Designer","Pipe behind unit","2026-09-09","0,50"
"Pana AC Select Develop","DCC-120: Accessories layout","2026-09-09","2,00"
"Refrigeration - Development","@dahl.se investigation","2026-09-09","0,00"
